i,District Name,State,Lat Min,Lat Max,Long Min,Long Max,Lat Center,Long Center
0,Sangli,Maharashtra,16.8183444,16.8902202,74.6289252,74.53927519999999,16.8542823,74.5841002
1,Solapur,Maharashtra,17.6002165,17.7227221,75.96410759999999,75.873127,17.6614693,75.9186173
2,Kolhapur,Maharashtra,16.6497027,16.7672344,74.2967607,74.1809751,16.70846855,74.2388679
3,Osmanabad,Maharashtra,18.1512348,18.2344058,76.0698237,76.0190393,18.1928203,76.0444315
4,Satara,Maharashtra,17.6323532,17.7167213,74.06784999999999,73.9686727,17.67453725,74.01826134999999
5,Jalna,Maharashtra,19.797677,19.8857995,75.94522479999999,75.8339024,19.84173825,75.8895636
6,Dhule,Maharashtra,20.8279773,20.9434731,74.8036856,74.724036,20.8857252,74.7638608
7,Aurangabad,Maharashtra,19.8036126,19.9365799,75.4171408,75.1932621,19.870096250000003,75.30520145
8,Barddhaman,West Bengal,23.2142926,23.2781488,87.90195469999999,87.8305436,23.246220700000002,87.86624914999999
9,Sitamarhi,Bihar,26.5556767,26.6075986,85.54061130000001,85.4653609,26.581637649999998,85.5029861
10,Samastipur,Bihar,25.8407723,25.8809732,85.8088124,85.74125289999999,25.86087275,85.77503264999999
11,Muzaffarpur,Bihar,26.0756724,26.1651448,85.43174739999999,85.34068119999999,26.120408599999998,85.38621429999999
12,Khagaria,Bihar,25.4986302,25.5215578,86.4993526,86.45226579999999,25.510094000000002,86.47580919999999
13,Begusarai,Bihar,25.3950685,25.4406042,86.1684587,86.0816342,25.41783635,86.12504645
14,Paschim Champaran,Bihar,26.582735,27.5180155,84.7639465,83.8345348,27.050375250000002,84.29924065
15,Malkangiri,Orissa,17.811525,18.7307201,82.4331823,81.3907699,18.27112255,81.9119761
16,Koraput,Orissa,18.7998806,18.8275852,82.7241325,82.6967525,18.8137329,82.7104425
17,Bargarh,Orissa,21.3165628,21.3798055,83.660005,83.5991476,21.34818415,83.6295763
18,Rayagada,Orissa,19.153479,19.1964859,83.4335232,83.3851147,19.17498245,83.40931895
19,Varanasi,Uttar Pradesh,25.2458603,25.395665,83.0607605,82.9214574,25.32076265,82.99110895
20,Chandauli,Uttar Pradesh,24.71728,25.5351101,83.5545199,83.00913,25.12619505,83.28182495
21,Fatehabad,Haryana,29.4819894,29.527829,75.4980468,75.4129584,29.5049092,75.45550259999999
22,Ambala,Haryana,30.3361391,30.40811699999999,76.81297289999999,76.74188079999999,30.372128049999993,76.77742684999998
23,Gurdaspur,Punjab,32.0214592,32.0638554,75.4417115,75.37511959999999,32.0426573,75.40841555
24,Rewari,Haryana,28.1806896,28.2179852,76.6502139,76.59015649999999,28.1993374,76.6201852
25,Bhiwani,Haryana,28.34149,29.0799999,76.46593,75.47577,28.71074495,75.97085
26,Kurukshetra,Haryana,29.9397629,29.9988004,76.93099029999999,76.8328131,29.96928165,76.88190169999999
27,Jhajjar,Haryana,28.5909194,28.6221594,76.6786791,76.63686349999999,28.606539400000003,76.6577713
28,Jind,Haryana,29.2762174,29.3503172,76.37678149999999,76.2638283,29.3132673,76.3203049
29,Kaithal,Haryana,29.757299,29.82642,76.452484,76.3627053,29.7918595,76.40759465
30,Panipat,Haryana,29.3278632,29.4648592,77.0275498,76.90069199999999,29.3963612,76.9641209
31,Saharanpur,Uttar Pradesh,29.9229989,30.004268,77.6124,77.5004546,29.96363345,77.5564273
32,Muzaffarnagar,Uttar Pradesh,29.4483659,29.5018855,77.73914529999999,77.67857029999999,29.4751257,77.70885779999999
33,Panchsheel nagar,Uttar Pradesh,28.5491601,28.88328,78.20118,77.54221,28.71622005,77.87169499999999
34,Nirmal,Telangana,19.0668637,19.1142523,78.36912629999999,78.3238506,19.090558,78.34648845
35,Siddipet,Telangana,18.077311,18.1258068,78.88377489999999,78.8146871,18.1015589,78.849231
36,East Godavari,Andhra Pradesh,16.301281,18.0137016,82.6047731,80.8758134,17.1574913,81.74029325000001
37,Dausa,Rajasthan,26.8579207,26.9291102,76.3912011,76.294899,26.893515450000002,76.34305005
38,Bharatpur,Rajasthan,27.1897351,27.2497462,77.5362253,77.4505234,27.21974065,77.49337435
39,Ajmer,Rajasthan,26.3812472,26.5252392,74.7021311,74.56929629999999,26.453243200000003,74.6357137
40,Banaskantha,Gujarat,24.3048238,24.309928,72.3536396,72.34977719999999,24.3073759,72.35170839999999
41,Patan,Gujarat,23.8208893,23.8754781,72.1525382,72.09211359999999,23.8481837,72.12232589999999
42,Sabarkantha,Gujarat,23.2382799,24.49811,73.42267989999999,72.72424,23.86819495,73.07345995
43,Gandhinagar,Gujarat,23.1655347,23.2758847,72.6881217,72.6029745,23.2207097,72.6455481
44,Mehsana,Gujarat,23.5532921,23.6264519,72.4232268,72.3427311,23.589872,72.38297895
45,Aravalli,Gujarat,23.6501946,28.1257882,76.82931909999999,72.4961581,25.887991399999997,74.6627386
46,Junagadh,Gujarat,21.4794629,21.5816696,70.4815789,70.3936409,21.53056625,70.4376099
47,Jamnagar,Gujarat,22.3946818,22.5539791,70.12989519999999,69.9869318,22.47433045,70.0584135
48,Rajkot,Gujarat,22.1934847,22.3534892,70.9481892,70.69440349999999,22.27348695,70.82129635
49,Surendranagar,Gujarat,22.1236501,23.52632,72.18781,70.98177989999999,22.82498505,71.58479495
50,Gir Somnath,Gujarat,20.6895301,21.29445,71.22484,70.23868,20.99199005,70.73176000000001
